MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40
1,64,5353.49,9527.9,5886.75,10136.9,6828.33,10746,7768.04,11355,6213.68,11964,6613.48,12573.1,7015.15,10448.9,3439.38,3418.21,3779.4,3079.03,4119.41,3166.83,4459.43,3254.64,4799.44,3340.58,5139.46,3428.38,5145.06,945.317,567.937,1031.25,582.883,1115.32,599.697,1201.26,616.511,1285.33,631.457,1371.27,500.682,17.8794
1,128,5292.02,9379.3,5879.75,9990.34,6815.64,10601.4,7749.66,11212.4,6187.26,11823.5,6588.37,12434.5,6991.36,10303.4,3405.71,3419.89,3746.84,3078.95,4087.98,3167.04,4429.11,3255.14,4770.25,3341.36,5111.38,3429.45,5105.76,937.18,567.931,1023.4,582.926,1107.75,599.795,1193.97,616.664,1278.31,631.659,1364.53,500.454,17.9016
1,256,5324.17,9436.28,5902.21,10051,6839.37,10665.8,7774.64,11280.5,6201.28,11895.3,6604.83,12510,7010.26,10366,3426.4,3435.85,3769.61,3092.52,4112.81,3181.15,4456.02,3269.78,4799.23,3356.52,5142.43,3445.15,5136.77,942.873,570.438,1029.62,585.524,1114.48,602.496,1201.22,619.468,1286.08,634.554,1372.82,502.552,18.0104
1,512,5785.43,10253.8,6399.14,10921.8,7412.68,11589.8,8424.18,12257.8,6712.91,12925.8,7151.42,13593.8,7591.98,11264,3723.25,3728.28,4096.19,3354.86,4469.13,3451.17,4842.07,3547.48,5215.01,3641.74,5587.95,3738.05,5581.8,1024.56,618.834,1118.82,635.227,1211.03,653.669,1305.29,672.111,1397.5,688.504,1491.76,545.065,19.5707
1,1024,8252.39,14626.1,9127.79,15579,10573.5,16531.8,12016.3,17484.7,9575.36,18437.5,10200.9,19390.4,10829.3,16067.1,5310.87,5318.06,5842.84,4785.41,6374.8,4922.78,6906.77,5060.16,7438.73,5194.61,7970.7,5331.98,7961.93,1461.44,882.71,1595.89,906.093,1727.42,932.399,1861.88,958.705,1993.4,982.088,2127.86,777.486,27.9158
2,64,5259.14,9359.97,14162.9,9958.28,16012.9,10556.6,17859.2,11154.9,14805.3,11753.2,15590.8,12351.5,16380,10264.8,3378.77,8977.01,3712.79,8310.6,4046.81,8483.11,4380.84,8655.63,4714.86,8824.48,5048.88,8996.99,5054.39,928.656,1532.47,1013.08,1561.83,1095.67,1594.87,1180.09,1627.9,1262.68,1657.27,1347.1,1400.33,17.5643
2,128,5195.08,9207.48,10741.9,9807.33,12450.1,10407.2,14154.5,11007,11043.8,11606.9,11831.4,12206.7,12622.6,10114.6,3343.32,6483.44,3678.21,5804.66,4013.09,5977.62,4347.98,6150.59,4682.86,6319.87,5017.74,6492.83,5012.22,920.012,1070.89,1004.65,1100.33,1087.45,1133.45,1172.1,1166.58,1254.9,1196.02,1339.54,938.412,17.5737
2,256,5219.63,9251,8402.26,9853.68,9321.02,10456.4,10237.9,11059,8695.46,11661.7,9091.08,12264.4,9488.56,10162.4,3359.13,5646.01,3695.59,5309.42,4032.06,5396.31,4368.53,5483.2,4704.99,5568.24,5041.46,5655.13,5035.92,924.36,978.898,1009.4,993.687,1092.59,1010.33,1177.64,1026.96,1260.83,1041.75,1345.87,912.344,17.6567
2,512,5265.69,9332.64,5824.27,9940.64,6746.77,10548.6,7667.39,11156.6,6109.86,11764.6,6508.97,12372.6,6909.96,10252.1,3388.77,3393.35,3728.21,3053.48,4067.64,3141.13,4407.08,3228.79,4746.52,3314.58,5085.95,3402.24,5080.36,932.518,563.241,1018.31,578.161,1102.24,594.946,1188.03,611.732,1271.95,626.652,1357.75,496.099,17.8125
2,1024,5353.9,9488.97,5921.84,10107.2,6859.78,10725.3,7795.83,11343.5,6212.2,11961.7,6618.01,12579.9,7025.71,10423.8,3445.54,3450.2,3790.66,3104.63,4135.78,3193.75,4480.9,3282.88,4826.02,3370.11,5171.15,3459.23,5165.46,948.138,572.676,1035.37,587.846,1120.7,604.912,1207.93,621.979,1293.26,637.149,1380.49,504.41,18.1109