MemCellType,Technode,numRowSubArray/numColSubArray,Energy Efficiency TOPS/W (Pipelined Process),Throughput TOPS (Pipelined Process),Throughput FPS (Pipelined Process),Compute efficiency TOPS/mm^2 (Pipelined Process)
1,5,64,18.2271,8.72339,15446.2,0.442622
1,5,128,16.2145,7.97816,14126.7,0.343526
1,5,256,20.2356,9.49843,16818.5,0.571246
1,5,512,19.3558,11.3737,20139,0.684815
1,5,1024,14.6511,9.20064,16291.3,0.310222
1,7,64,14.8335,8.02728,14213.6,0.274796
1,7,128,16.2145,7.97816,14126.7,0.343526
1,7,256,16.5035,8.74346,15481.7,0.364905
1,7,512,15.7993,10.6376,18835.6,0.447301
1,7,1024,12.0062,10.1575,17985.5,0.241694
1,10,64,12.6518,7.90453,13996.3,0.195723
1,10,128,13.8615,7.86911,13933.6,0.23974
1,10,256,14.095,8.65409,15323.5,0.250017
1,10,512,13.5034,10.6044,18776.8,0.305511
1,10,1024,10.2829,10.4585,18518.4,0.17013
1,14,64,9.87075,6.808,12054.7,0.0810478
1,14,128,10.8808,6.79576,12033,0.0991484
1,14,256,11.0812,7.51174,13300.8,0.105082
1,14,512,10.639,9.29369,16456,0.129528
1,14,1024,8.09631,8.61059,15246.5,0.0686905
1,22,64,5.86693,5.80667,10281.7,0.0511732
1,22,128,6.27343,5.81088,10289.1,0.0607756
1,22,256,6.33124,6.45238,11425,0.0626983
1,22,512,6.11934,7.49257,13266.8,0.0724937
1,22,1024,4.90972,5.92046,10483.2,0.0321537